Num,Name,KCAL,PROTEIN,FAT,CARBON HYDRATE
1,アマランサス　玄穀,343,12.7,6.0,64.9
2,あわ　精白粒,346,11.2,4.4,69.7
3,あわ　あわもち,210,5.1,1.3,45.3
4,えんばく　オートミール,350,13.7,5.7,69.1
5,おおむぎ　七分つき押麦,343,10.9,2.1,72.1
6,おおむぎ　押麦　乾,329,6.7,1.5,78.3
7,おおむぎ　押麦　めし,118,2.2,0.5,28.5
8,おおむぎ　米粒麦,333,7.0,2.1,76.2
9,おおむぎ　大麦めん　乾,343,12.9,1.7,68.0
10,おおむぎ　大麦めん　ゆで,121,4.8,0.6,24.3
11,おおむぎ　麦こがし,368,12.5,5.0,77.1
12,キヌア　玄穀,344,13.4,3.2,69.0
13,きび　精白粒,353,11.3,3.3,70.9
14,こむぎ　［玄穀］　国産　普通,329,10.8,3.1,72.1
15,こむぎ　［玄穀］　輸入　軟質,344,10.1,3.3,75.2
16,こむぎ　［玄穀］　輸入　硬質,332,13.0,3.0,69.4
17,こむぎ　［小麦粉］　薄力粉　1等,349,8.3,1.5,75.8
18,こむぎ　［小麦粉］　薄力粉　2等,345,9.3,1.9,74.3
19,こむぎ　［小麦粉］　中力粉　1等,337,9.0,1.6,75.1
20,こむぎ　［小麦粉］　中力粉　2等,346,9.7,1.8,74.0
21,こむぎ　［小麦粉］　強力粉　1等,337,11.8,1.5,71.7
22,こむぎ　［小麦粉］　強力粉　2等,343,12.6,1.7,70.6
23,こむぎ　［小麦粉］　強力粉　全粒粉,320,12.8,2.9,68.2
24,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,335,10.1,1.9,73.6
25,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,360,7.8,4.0,74.4
26,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,311,10.2,1.2,70.0
27,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,337,8.8,1.3,76.1
28,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,136,3.3,0.5,30.2
29,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,588,4.3,47.7,37.0
30,こむぎ　［パン類］　角形食パン　食パン,248,8.9,4.1,46.4
31,こむぎ　［パン類］　角形食パン　焼き,269,9.7,4.5,50.6
32,こむぎ　［パン類］　角形食パン　耳を除いたもの,226,8.2,3.7,42.6
33,こむぎ　［パン類］　角形食パン　耳,273,-9.7,-4.5,-50.8
34,こむぎ　［パン類］　食パン　リーンタイプ,246,-8.0,-3.7,-47.5
35,こむぎ　［パン類］　食パン　リッチタイプ,256,-7.8,-6.0,-45.6
36,こむぎ　［パン類］　山形食パン　食パン,246,-7.8,-3.5,-47.9
37,こむぎ　［パン類］　コッペパン,259,8.5,3.8,49.1
38,こむぎ　［パン類］　乾パン,386,9.5,4.4,78.8
39,こむぎ　［パン類］　フランスパン,289,9.4,1.3,57.5
40,こむぎ　［パン類］　ライ麦パン,252,8.4,2.2,52.7
41,こむぎ　［パン類］　全粒粉パン,251,7.9,5.7,45.5
42,こむぎ　［パン類］　ぶどうパン,263,8.2,3.5,51.1
43,こむぎ　［パン類］　ロールパン,309,10.1,9.0,48.6
44,こむぎ　［パン類］　クロワッサン　レギュラータイプ,406,-6.5,-20.4,-51.5
45,こむぎ　［パン類］　クロワッサン　リッチタイプ,438,7.9,26.8,43.9
46,こむぎ　［パン類］　くるみパン,292,-8.2,-12.6,-38.7
47,こむぎ　［パン類］　イングリッシュマフィン,224,8.1,3.6,40.8
48,こむぎ　［パン類］　ナン,257,10.3,3.4,47.6
49,こむぎ　［パン類］　ベーグル,270,9.6,2.0,54.6
50,こむぎ　［うどん・そうめん類］　うどん　生,249,6.1,0.6,56.8
51,こむぎ　［うどん・そうめん類］　うどん　ゆで,95,2.6,0.4,21.6
52,こむぎ　［うどん・そうめん類］　うどん　半生うどん,296,-7.8,-3.4,-62.5
53,こむぎ　［うどん・そうめん類］　干しうどん　乾,333,8.5,1.1,71.9
54,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,117,3.1,0.5,25.8
